Dia,Tema,Accion_requerida,Completado,Fecha_de_finalizacion,Fuente_primaria_utilizada,Preguntas_identificadas,Revision_profesional_requerida,Notas
1,Fundamentos_financieros,Iniciar_la_declaracion_de_politica_de_inversion,,,,,,
2,Fundamentos_financieros,Calcular_los_gastos_mensuales_esenciales,,,,,,
3,Fundamentos_financieros,Definir_limites_de_liquidez_y_riesgo,,,,,,
4,Fundamentos_de_ETF,Revisar_la_estructura_y_terminologia_de_los_ETF,,,,,,
5,Fundamentos_de_ETF,Revisar_costos_diferenciales_y_seguimiento,,,,,,
6,Fundamentos_de_ETF,Completar_una_plantilla_de_investigacion_de_ETF,,,,,,
7,Inversiones_en_Colombia,Revisar_cuentas_de_ahorro_y_CDT,,,,,,
8,Inversiones_en_Colombia,Revisar_bonos_y_fondos_colectivos,,,,,,
9,Inversiones_en_Colombia,Crear_una_escalera_hipotetica_de_CDT,,,,,,
10,Seguridad_del_corredor,Identificar_entidades_legales_y_reguladores,,,,,,
11,Seguridad_del_corredor,Comparar_custodia_financiacion_y_comisiones,,,,,,
12,Seguridad_del_corredor,Completar_la_comparacion_de_corredores,,,,,,
13,Tributacion_transfronteriza,Crear_un_inventario_de_cuentas_financieras,,,,,,
14,Tributacion_transfronteriza,Identificar_preguntas_de_declaracion_en_Estados_Unidos,,,,,,
15,Tributacion_transfronteriza,Identificar_preguntas_de_declaracion_en_Colombia,,,,,,
16,Comparacion_de_ETF,Investigar_un_ETF_amplio_de_acciones_de_Estados_Unidos,,,,,,
17,Comparacion_de_ETF,Investigar_ETF_globales_y_de_bonos,,,,,,
18,Comparacion_de_ETF,Completar_la_evaluacion_y_puntuacion,,,,,,
19,Analisis_inmobiliario,Seleccionar_una_propiedad_hipotetica_en_dificultades,,,,,,
20,Analisis_inmobiliario,Completar_la_revision_de_titulo_y_posesion,,,,,,
21,Analisis_inmobiliario,Completar_escenarios_de_costo_total,,,,,,
22,Construccion_del_portafolio,Crear_un_portafolio_simulado,,,,,,
23,Construccion_del_portafolio,Revisar_liquidez_y_concentracion,,,,,,
24,Construccion_del_portafolio,Revisar_la_asignacion_de_moneda,,,,,,
25,Pruebas_de_estres,Modelar_una_caida_de_las_acciones,,,,,,
26,Pruebas_de_estres,Modelar_cambios_de_moneda_y_tasas,,,,,,
27,Pruebas_de_estres,Modelar_escenarios_inmobiliarios_y_de_emergencia,,,,,,
28,Proteccion_contra_el_fraude,Completar_la_matriz_de_riesgo_de_estafa,,,,,,
29,Proteccion_contra_el_fraude,Revisar_la_seguridad_de_las_cuentas_y_la_familia,,,,,,
30,Revision_final,Completar_la_evaluacion_de_preparacion,,,,,,
