"Review_ID","Version","Review_Date","File_or_Directory","Privacy_Category","Potential_Account_Data","Potential_Identity_Data","Potential_Tax_Data","Potential_Medical_Data","Potential_Credential","Potential_Beneficiary_Data","Automated_Scan_Result","Manual_Review_Result","Release_Blocking","Corrective_Action","Reviewed_By","Verification_Date","Current_Status","Notes"
"PRIV-0001","1.0.0","2026-08-01",".github/workflows/portfolio-data-and-content-qa.yml","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0002","1.0.0","2026-08-01",".github/workflows/repository-quality-checks.yml","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0003","1.0.0","2026-08-01",".github/workflows/version-1-release-readiness.yml","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0004","1.0.0","2026-08-01","01-etf-fundamentals/01_What_Is_an_ETF.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0005","1.0.0","2026-08-01","01-etf-fundamentals/02_ETF_Costs_and_Trading.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0006","1.0.0","2026-08-01","01-etf-fundamentals/03_Diversification_Risk_and_Drawdowns.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0007","1.0.0","2026-08-01","01-etf-fundamentals/04_ETF_Types_and_Index_Construction.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0008","1.0.0","2026-08-01","01-etf-fundamentals/05_ETF_Domicile_Distribution_Tax_and_Cross_Border_Due_Diligence.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0009","1.0.0","2026-08-01","01-etf-fundamentals/06_ETF_Liquidity_Premiums_Discounts_and_Execution_Controls.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0010","1.0.0","2026-08-01","01-etf-fundamentals/07_ETF_Index_Methodology_Tracking_Difference_and_Benchmark_Governance.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0011","1.0.0","2026-08-01","01-etf-fundamentals/08_ETF_Securities_Lending_Derivatives_Counterparty_and_Collateral_Risk.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
"PRIV-0012","1.0.0","2026-08-01","01-etf-fundamentals/09_ETF_Fund_Closure_Merger_Delisting_and_Exit_Transition_Planning.md","Repository File","No","No","No","No","No","No","No Indicator","No Automated Indicator","No","","Pending Manual Reviewer","","No Automated Indicator",""
